runner_weight_kg,impact_force_newtons,preferred_shoe_size,load_score,stiffness_profile
63.49,2451.03,43.5,0.57,Firm
86.96,900.55,43.6,0.39,Medium
63.1,1358.45,41.0,0.32,Soft
64.18,1411.85,38.9,0.34,Medium
57.53,981.94,44.0,0.19,Soft
65.94,1120.91,41.7,0.29,Soft
78.0,2047.23,40.5,0.59,Firm
60.87,1833.18,41.1,0.41,Medium
57.27,1165.65,40.5,0.23,Soft
59.99,1392.01,42.2,0.31,Soft
57.98,1840.88,41.4,0.39,Medium
89.09,2087.12,44.0,0.68,Firm
70.27,785.62,42.2,0.24,Soft
79.03,1990.74,44.7,0.58,Firm
73.12,1596.4,43.1,0.45,Medium
73.73,1528.11,44.0,0.44,Medium
54.55,1351.85,41.1,0.26,Soft
69.6,1914.77,42.5,0.5,Firm
79.02,1624.25,39.1,0.5,Firm
79.05,1312.22,43.6,0.43,Medium
69.04,1134.36,43.3,0.31,Soft
81.97,851.53,41.9,0.34,Medium
67.61,1378.08,42.0,0.36,Medium
64.4,1416.25,43.4,0.34,Medium
78.17,1345.51,42.3,0.43,Medium
71.27,2531.04,41.7,0.65,Firm
66.15,1351.88,40.6,0.34,Medium
66.45,1471.44,42.0,0.37,Medium
73.37,1562.15,42.1,0.44,Medium
62.69,880.1,42.1,0.21,Soft
82.55,1316.49,42.8,0.45,Medium
74.11,944.41,42.2,0.31,Soft
77.53,1952.01,41.8,0.56,Firm
71.43,1689.37,42.6,0.46,Medium
60.88,1834.55,42.2,0.41,Medium
91.21,2063.81,41.5,0.69,Firm
82.29,1745.85,44.0,0.55,Firm
65.92,1528.2,42.3,0.38,Medium
49.07,763.71,41.7,0.08,Soft
88.42,2292.05,44.4,0.72,Firm
54.3,1125.74,42.5,0.2,Soft
51.67,1995.35,43.5,0.38,Medium
74.25,964.04,42.7,0.31,Soft
69.12,781.06,39.3,0.23,Soft
67.48,901.9,39.4,0.25,Soft
94.41,1155.56,43.0,0.5,Firm
65.19,1668.26,43.7,0.41,Medium
62.49,1894.61,41.5,0.44,Medium
72.39,912.8,40.3,0.29,Soft
67.28,1806.85,41.7,0.45,Medium
76.83,1196.73,42.4,0.38,Medium
59.5,1149.88,43.5,0.25,Soft
91.42,1241.95,41.4,0.5,Firm
78.04,1133.74,41.0,0.38,Medium
60.15,1062.06,41.4,0.23,Soft
52.19,1390.48,42.9,0.25,Soft
57.46,2398.92,41.4,0.52,Firm
71.69,1189.7,42.9,0.34,Medium
97.66,1372.98,45.0,0.58,Firm
81.63,1611.7,40.6,0.51,Firm
47.3,1864.62,44.7,0.32,Soft
59.51,1431.65,44.1,0.31,Soft
75.52,1748.71,39.6,0.5,Firm
77.33,1045.56,44.0,0.35,Medium
66.79,1606.66,40.6,0.4,Medium
89.82,1599.43,40.6,0.57,Firm
84.09,1345.58,41.5,0.47,Medium
66.24,1450.68,42.4,0.36,Medium
54.54,754.24,42.0,0.12,Soft
68.27,1798.92,42.8,0.46,Medium
72.93,2034.83,41.3,0.55,Firm
57.06,1959.36,44.4,0.41,Medium
62.61,1829.19,42.7,0.42,Medium
71.48,1553.34,41.8,0.43,Medium
77.9,2323.64,43.1,0.65,Firm
80.91,1391.64,40.7,0.46,Medium
75.82,1226.32,41.1,0.38,Medium
61.25,1033.11,43.2,0.23,Soft
66.9,1760.58,43.1,0.44,Medium
81.68,1811.25,40.2,0.56,Firm
49.77,1368.01,42.4,0.23,Soft
79.88,1544.05,40.3,0.48,Firm
53.61,798.74,44.7,0.12,Soft
67.69,1823.19,41.2,0.46,Medium
73.24,1286.92,44.3,0.38,Medium
50.98,2102.49,40.8,0.4,Medium
57.47,1171.03,41.3,0.24,Soft
84.24,1984.7,40.1,0.62,Firm
77.28,1477.86,41.8,0.45,Medium
78.71,1767.92,42.5,0.53,Firm
57.41,1554.21,41.1,0.32,Soft
88.01,746.68,39.9,0.36,Medium
65.2,2010.45,40.6,0.49,Firm
67.26,1218.15,42.2,0.32,Soft
86.5,1067.94,41.7,0.42,Medium
47.53,1275.12,43.6,0.19,Soft
78.66,2042.82,41.6,0.59,Firm
66.7,1818.08,42.4,0.45,Medium
53.26,1496.1,42.6,0.28,Soft
65.03,1664.87,43.2,0.4,Medium
84.28,1271.22,43.1,0.45,Medium
68.42,1376.76,41.8,0.36,Medium
61.52,1474.75,41.9,0.34,Medium
85.5,1268.82,43.5,0.46,Medium
60.81,2259.87,44.0,0.51,Firm
70.77,1959.28,42.4,0.51,Firm
51.01,1190.36,41.8,0.19,Soft
58.45,1506.84,42.2,0.32,Soft
55.44,1242.53,42.8,0.24,Soft
68.14,1340.75,42.3,0.35,Medium
